i 2 2 60
l 1.500333e+03 4156 1185 -6.733333e+01 1.111333e+03 1.006667e+02 0.000000
l 1606 3.972667e+03 738 -7.433333e+01 7.536667e+02 -53 0.015981
l 1.805333e+03 3.819333e+03 4.716667e+02 -8.633333e+01 6.286667e+02 -148 0.016262
l 1.835667e+03 3675 4.626667e+02 -1.136667e+02 674 -2.233333e+02 0.023400
l 1.770667e+03 3.540667e+03 6.286667e+02 -1.593333e+02 632 -2.663333e+02 0.059426
l 1.771333e+03 3484 8.186667e+02 -2.133333e+02 4.683333e+02 -2.953333e+02 0.059769
l 1.891333e+03 3.617667e+03 1.046333e+03 -2.926667e+02 4.676667e+02 -2.973333e+02 0.093417
l 1.941333e+03 3.979333e+03 1357 -3.966667e+02 7.383333e+02 -2.856667e+02 0.102442
l 1.906333e+03 4528 1.779333e+03 -5.326667e+02 1.245333e+03 -2.756667e+02 0.109588
l 1.846333e+03 5.203667e+03 2.135333e+03 -7.283333e+02 1.935667e+03 -295 0.143426
l 1.707333e+03 5988 2323 -9.983333e+02 2.923667e+03 -3.576667e+02 0.149296
l 1418 6.756333e+03 2.286333e+03 -1.419333e+03 4.190667e+03 -4.056667e+02 0.163425
l 9.066667e+02 7.462333e+03 2.023333e+03 -1.935333e+03 5.690667e+03 -386 0.177416
l 3.623333e+02 8.241667e+03 1.643333e+03 -2640 7.214667e+03 -3.746667e+02 0.197412
l -1.433333e+01 8990 1.287333e+03 -3492 8517 -498 0.211390
l -1.793333e+02 9346 1048 -4387 9.413333e+03 -674 0.242423
l -2.143333e+02 9165 8.683333e+02 -5.040667e+03 1.006867e+04 -6.353333e+02 0.244309
l -5.643333e+02 8532 5.016667e+02 -5463 10546 -1.136667e+02 0.276439
l -1.034333e+03 7680 -2.083333e+02 -5.954333e+03 1.097467e+04 9.356667e+02 0.296368
l -1.538667e+03 6352 -1.235667e+03 -6.776667e+03 1.112633e+04 2.459667e+03 0.296596
l -2.437333e+03 4.621667e+03 -2.465333e+03 -8.048333e+03 1.132333e+04 4.568333e+03 0.329429
l -4323 2402 -3.179333e+03 -9.735333e+03 11039 7.282667e+03 0.349442
l -5.894333e+03 -5.813333e+02 -2.860333e+03 -12046 9.604667e+03 10306 0.371411
l -5.821333e+03 -5692 -1918 -1.546933e+04 7.102333e+03 1.353467e+04 0.378434
l -5386 -1.578133e+04 -1.560667e+03 -1.740333e+04 3.500667e+03 1.479367e+04 0.380369
l -2.192667e+03 -2.151367e+04 -1.251667e+03 -1.375133e+04 -5.933333e+02 12809 0.412443
l 1.621667e+03 -20433 5.626667e+02 -6.291333e+03 -3.826667e+03 7.600333e+03 0.434302
l 4.590667e+03 -9.597667e+03 2.003333e+03 5.673333e+02 -5.346333e+03 8.626667e+02 0.434528
l 3.126333e+03 -3098 2925 2609 -4854 -4194 0.467427
l -9.866667e+01 -2.390667e+03 2.675333e+03 2.951333e+03 -5106 -7.529667e+03 0.479139
l -617 -6.376333e+03 2.513333e+03 3.741667e+03 -5.363333e+03 -8.788333e+03 0.499438
l 4.683333e+02 -8253 2379 5.443667e+03 -5.506333e+03 -9448 0.499743
l 1170 -6916 2.175333e+03 6.756667e+03 -5.165667e+03 -9.518333e+03 0.531436
l 5.206667e+02 -3.809667e+03 2631 7.014333e+03 -6.004667e+03 -9.169333e+03 0.551470
l 1.646667e+02 -631 2.873333e+03 6.437333e+03 -7875 -8.698333e+03 0.570390
l 8.723333e+02 1874 2.709667e+03 5395 -8.875333e+03 -7992 0.582449
l 1862 3.625333e+03 2670 4.471667e+03 -8.026667e+03 -7.033667e+03 0.582770
l 1884 4.139667e+03 2.776333e+03 3.565333e+03 -6.104667e+03 -5.759333e+03 0.616448
l 1139 3769 2650 3272 -5053 -4.718667e+03 0.636033
l 2.523333e+02 3407 2.065667e+03 3460 -5.572333e+03 -3922 0.636339
l 1.233333e+02 4.044667e+03 1.541667e+03 3.743667e+03 -6.979333e+03 -3487 0.670448
l 5.166667e+02 4968 1275 3.556333e+03 -7.807667e+03 -3.104333e+03 0.686141
l 1133 5.325333e+03 1.353333e+03 3049 -7527 -2721 0.702452
l 1.340667e+03 5.192333e+03 1264 2.621333e+03 -6.217333e+03 -2.218333e+03 0.702791
l 1.161667e+03 5.010667e+03 1.084667e+03 2.285333e+03 -4894 -1678 0.736435
l 742 5.087333e+03 1.097333e+03 1.985667e+03 -3.957333e+03 -1.068333e+03 0.755435
l 5.256667e+02 5.051667e+03 1.346333e+03 1609 -3.594667e+03 -4.833333e+02 0.755733
l 5.103333e+02 4.855333e+03 1.502333e+03 1395 -3.411333e+03 -2.333333e+00 0.787362
l 7.913333e+02 4716 1.450333e+03 1245 -3.214667e+03 3.493333e+02 0.787600
l 1.003667e+03 4.737333e+03 1268 1.110667e+03 -2.890333e+03 6.463333e+02 0.807349
l 1268 4.775667e+03 1286 8.573333e+02 -2.512667e+03 8.816667e+02 0.838455
l 1.405333e+03 4734 1437 5.653333e+02 -2033 1.064333e+03 0.838788
l 1.594667e+03 4.517667e+03 1.504667e+03 276 -1561 1108 0.872369
l 1796 4351 1.382667e+03 9.433333e+01 -1.008333e+03 1.020333e+03 0.892455
l 2.061333e+03 4.316333e+03 1.230667e+03 -4.966667e+01 -432 848 0.892788
l 2200 4.259667e+03 1.133667e+03 -1.886667e+02 8.233333e+01 6.216667e+02 0.926444
